Label,Text
true,"Jaqueta de couro preta com jeans slim e botas, estilo urbano"
true,"Vestido longo floral elegante, ideal para ocasiões formais"
true,"Camisa social branca com blazer cinza e calça de alfaiataria"
true,"Tênis branco minimalista com calça jeans e camiseta básica"
true,"Saia midi plissada com blusa de seda, look sofisticado"
true,"Conjunto esportivo moderno em tons neutros"
true,"Camisa xadrez oversized com calça skinny preta, estilo casual"
true,"Macacão liso com sandália de salto, look versátil"
true,"Blazer colorido com calça jeans e tênis, estilo fashionista"
true,"Suéter neutro com calça de alfaiataria, look minimalista"
true,"Vestido preto básico com salto alto, clássico e elegante"
true,"Jaqueta jeans oversized com vestido curto, estilo streetwear"
true,"Calça wide leg com cropped e tênis, moderno e confortável"
true,"Sobretudo bege com bota de couro, look de inverno sofisticado"
true,"Blusa de gola alta com saia lápis, look corporativo"
true,"Jaqueta bomber com calça jogger, estilo esportivo urbano"
true,"Vestido midi monocromático com acessórios discretos"
true,"Camisa polo ajustada com calça chino, casual elegante"
true,"Jaqueta de alfaiataria com jeans rasgado, mix moderno"
true,"Saia jeans com blusa de tricô leve, estilo casual"
false,"Camisa florida com calça listrada colorida, excesso de estampas"
false,"Blazer formal usado com bermuda de praia, combinação incoerente"
false,"Casaco pesado de inverno combinado com chinelo, fora de contexto"
false,"Vestido social com tênis de corrida esportivo, destoante"
false,"Sobretudo elegante usado com boné esportivo, mistura confusa"
false,"Camisa social larga demais, prejudicando o caimento"
false,"Look totalmente monocromático em cores berrantes, desarmônico"
false,"Saia rodada com blusa esportiva, estilos não compatíveis"
false,"Terno social com sandália de praia, fora de moda"
false,"Jaqueta esportiva fluorescente com saia de festa, incoerente"
false,"Vestido de festa longo usado com mochila esportiva"
false,"Calça social com camiseta de time de futebol, fora de contexto"
false,"Sobretudo de lã com short jeans, mistura confusa"
false,"Camisa social com chinelo de dedo, desequilibrado"
false,"Terno clássico com boné esportivo e mochila colorida"
false,"Jaqueta de couro com calça de moletom desbotada"
false,"Blusa rendada elegante usada com calça esportiva"
false,"Vestido floral delicado com bota de trilha, incoerente"
false,"Sobretudo formal usado com bermuda curta, fora de moda"
false,"Macacão social com tênis de corrida fluorescente"
false,"Calça de alfaiataria com camiseta rasgada de banda"
false,"Camisa social com gravata combinada a bermuda jeans"
true,"Calça de linho reta com camiseta de algodão pima e sandálias de couro, look 'clean'"
true,"Terno de cor sólida (ex: vinho) com camiseta básica branca e tênis minimalista, high-low moderno"
true,"Legging de alta qualidade, top esportivo e jaqueta corta-vento, athleisure funcional"
true,"Vestido longo estampado com franjas, sandália rasteira e chapéu de palha, estilo boho"
true,"Saia xadrez, camisa polo e sapatilhas, visual preppy clássico"
true,"Coturno, calça jeans rasgada, camiseta de banda e jaqueta de couro, look rockwear"
Não,"Jeans de corte reto, scarpin, t-shirt básica e um lenço de seda no pescoço, casual chic"
true,"Moletom oversized, calça cargo e tênis 'chunky', streetwear hype"
true,"Bermuda de linho, camisa de botão de manga curta e alpargatas, casual de verão"
true,"Terno completo azul marinho, camisa social clara e sapato oxford, formal clássico"
true,"Vestido de tricô justo com bota over-the-knee, sensual e moderno"
true,"Parka militar com jeans e bota, estilo utilitário"
true,"Blusa ciganinha com saia longa florida, look hippie chic"
